[2024-09-19 08:03:12] | Access Granted | ID: 198473 | Name: John Doe | Entry Point: Main Lobby | Floor: 5 | IP: 10.0.0.10
[2024-09-19 14:43:19] | Access Granted | ID: 489013 | Name: Mark Stevenson | Entry Point: Break Room | Floor: 7 | IP: 10.0.0.32
[2024-09-19 14:56:47] | Access Granted | ID: 475829 | Name: Kevin Hall | Entry Point: Cafeteria | Floor: 10 | IP: 10.0.0.33
[2024-09-19 15:05:19] | Access Granted | ID: 475829 | Name: Kevin Hall | Entry Point: Main Lobby | Floor: 10 | IP: 10.0.0.34
[2024-09-19 15:03:10] | Access Granted | ID: 075912 | Name: John Wick | Entry Point: Server Room | Floor: B1 | IP: 10.0.0.9
[2024-09-19 15:12:23] | Access Denied | ID: 239832 | Name: James Lee | Entry Point: Server Room | Floor: B1 | IP: 10.0.0.9
[2024-09-19 15:25:43] | Access Granted | ID: 837492 | Name: Emily Green | Entry Point: Main Lobby | Floor: 9 | IP: 10.0.0.35
[2024-09-19 15:37:56] | Access Denied | ID: 489013 | Name: Mark Stevenson | Entry Point: Emergency Exit | Floor: 2 | IP: 10.0.0.36
[2024-09-19 16:02:48] | Access Granted | ID: 198473 | Name: John Doe | Entry Point: Parking Garage | Floor: B1 | IP: 10.0.0.37
[2024-09-19 16:11:31] | Access Granted | ID: 392834 | Name: Diane Price | Entry Point: Office Door | Floor: 4 | IP: 10.0.0.38
[2024-09-19 16:20:18] | Access Granted | ID: 298374 | Name: Amy Brown | Entry Point: Main Lobby | Floor: 8 | IP: 10.0.0.39
[2024-09-19 16:35:26] | Access Granted | ID: 837492 | Name: Emily Green | Entry Point: Break Room | Floor: 9 | IP: 10.0.0.40
[2024-09-19 16:46:37] | Access Granted | ID: 857392 | Name: Linda Parker | Entry Point: Cafeteria | Floor: 10 | IP: 10.0.0.41
[2024-09-19 16:53:15] | Access Granted | ID: 489013 | Name: Mark Stevenson | Entry Point: Parking Garage | Floor: B1 | IP: 10.0.0.42
[2024-09-19 17:07:54] | Access Denied | ID: 092341 | Name: Ben Carter | Entry Point: Office Door | Floor: 3 | IP: 10.0.0.43
[2024-09-19 17:14:38] | Access Granted | ID: 475829 | Name: Kevin Hall | Entry Point: Main Lobby | Floor: 10 | IP: 10.0.0.44
[2024-09-19 17:26:22] | Access Granted | ID: 589213 | Name: Ethan Powell | Entry Point: Office Door | Floor: 11 | IP: 10.0.0.45
[2024-09-19 17:37:59] | Access Denied | ID: 293018 | Name: Robert White | Entry Point: Emergency Exit | Floor: 7 | IP: 10.0.0.46
[2024-09-19 18:01:43] | Access Denied | ID: 489013 | Name: Mark Stevenson | Entry Point: Main Lobby | Floor: 7 | IP: 10.0.0.47
[2024-09-19 18:10:36] | Access Granted | ID: 857392 | Name: Linda Parker | Entry Point: Office Door | Floor: 10 | IP: 10.0.0.48
[2024-09-19 18:23:28] | Access Denied | ID: 093218 | Name: Rachel Adams | Entry Point: Server Room | Floor: B1 | IP: 10.0.0.9
[2024-09-19 18:36:57] | Access Granted | ID: 293018 | Name: Robert White | Entry Point: Break Room | Floor: 7 | IP: 10.0.0.49
[2024-09-19 18:49:30] | Access Granted | ID: 298374 | Name: Amy Brown | Entry Point: Main Lobby | Floor: 8 | IP: 10.0.0.50
[2024-09-19 19:05:14] | Access Denied | ID: 928341 | Name: Susan Gold | Entry Point: Office Door | Floor: 3 | IP: 10.0.0.51
[2024-09-19 19:17:32] | Access Granted | ID: 475829 | Name: Kevin Hall | Entry Point: Cafeteria | Floor: 10 | IP: 10.0.0.52
[2024-09-19 19:27:44] | Access Granted | ID: 392834 | Name: Diane Price | Entry Point: Main Lobby | Floor: 4 | IP: 10.0.0.53
[2024-09-19 19:45:02] | Access Granted | ID: 857392 | Name: Linda Parker | Entry Point: Office Door | Floor: 10 | IP: 10.0.0.54
[2024-09-19 20:03:16] | Access Denied | ID: 239832 | Name: James Lee | Entry Point: Main Lobby | Floor: 12 | IP: 10.0.0.55
[2024-09-19 20:20:44] | Access Granted | ID: 837492 | Name: Emily Green | Entry Point: Break Room | Floor: 9 | IP: 10.0.0.56
[2024-09-19 20:35:51] | Access Granted | ID: 298374 | Name: Amy Brown | Entry Point: Main Lobby | Floor: 8 | IP: 10.0.0.57
[2024-09-19 20:45:39] | Access Denied | ID: 198473 | Name: John Doe | Entry Point: Emergency Exit | Floor: 5 | IP: 10.0.0.58
[2024-09-19 21:02:32] | Access Granted | ID: 475829 | Name: Kevin Hall | Entry Point: Parking Garage | Floor: B1 | IP: 10.0.0.59
[2024-09-19 21:18:11] | Access Granted | ID: 589213 | Name: Ethan Powell | Entry Point: Office Door | Floor: 11 | IP: 10.0.0.60
[2024-09-19 21:29:28] | Access Denied | ID: 239832 | Name: James Lee | Entry Point: Emergency Exit | Floor: 12 | IP: 10.0.0.61
[2024-09-19 21:45:44] | Access Granted | ID: 837492 | Name: Emily Green | Entry Point: Cafeteria | Floor: 9 | IP: 10.0.0.62
[2024-09-19 22:02:23] | Access Granted | ID: 857392 | Name: Linda Parker | Entry Point: Main Lobby | Floor: 10 | IP: 10.0.0.63
[2024-09-19 22:18:55] | Access Denied | ID: 198473 | Name: John Doe | Entry Point: Service Elevator | Floor: 5 | IP: 10.0.0.64
[2024-09-19 22:35:16] | Access Granted | ID: 475829 | Name: Kevin Hall | Entry Point: Office Door | Floor: 10 | IP: 10.0.0.65
[2024-09-19 22:50:29] | Access Denied | ID: 093218 | Name: Rachel Adams | Entry Point: Main Lobby | Floor: 2 | IP: 10.0.0.66
[2024-09-19 23:05:13] | Access Granted | ID: 198473 | Name: John Doe | Entry Point: Main Lobby | Floor: 5 | IP: 10.0.0.67
